"","age_group","hr_qol","life_exp_male","life_exp_female","age_dist","life_exp","qaly_loss"
"52",51,0.785,30.31,33.36,0.014,32,15.0710745259456
"53",52,0.785,29.42,32.44,0.014,31,14.7949403404495
"54",53,0.785,28.54,31.52,0.014,30,14.5089703356764
"55",54,0.785,27.66,30.61,0.014,29,14.2128141626079
"56",55,0.785,26.79,29.7,0.014,28,13.9061089928955
"57",56,0.779,25.93,28.79,0.014,27,13.5884790743505
"58",57,0.779,25.07,27.9,0.014,26,13.2657489888537
"59",58,0.779,24.22,27,0.013,26,13.224160489505
"60",59,0.779,23.38,26.12,0.013,25,12.8884534821058
"61",60,0.779,22.55,25.24,0.012,24,12.540788688861
"62",61,0.775,21.72,24.37,0.012,23,12.1807401769209
"63",62,0.775,20.91,23.51,0.012,22,11.812009320667
"64",63,0.775,20.1,22.66,0.011,21,11.4301443786879
"65",64,0.775,19.31,21.81,0.011,21,11.3832804019362
"66",65,0.775,18.53,20.97,0.01,20,10.9861442607179
"67",66,0.778,17.75,20.13,0.01,19,10.5748622457957
"68",67,0.778,17,19.31,0.01,18,10.1458236261409
"69",68,0.778,16.24,18.49,0.01,17,9.7015027757903
"70",69,0.778,15.5,17.68,0.009,17,9.64234410895845
"71",70,0.778,14.78,16.88,0.009,16,9.18008946481921
"72",71,0.755,14.06,16.1,0.01,15,8.70136944486445
"73",72,0.755,13.35,15.31,0.01,14,8.22941681050475
"74",73,0.755,12.65,14.54,0.011,14,8.16002346755571
"75",74,0.755,11.97,13.79,0.01,13,7.66878824712442
"76",75,0.755,11.31,13.06,0.008,12,7.16005537118925
"77",76,0.732,10.67,12.34,0.008,12,7.08297944888771
"78",77,0.732,10.04,11.63,0.007,11,6.57719948744948
"79",78,0.732,9.44,10.95,0.007,10,6.05340379106814
"80",79,0.732,8.87,10.29,0.006,10,5.99334109040305
"81",80,0.732,8.31,9.66,0.005,9,5.44874852793869
"82",81,0.702,7.77,9.03,0.006,8,4.88475773698492
"83",82,0.702,7.26,8.44,0.005,8,4.84911404933357
"84",83,0.702,6.76,7.86,0.005,7,4.29483304412966
"85",84,0.702,6.28,7.3,0.004,7,4.25660489751352
"86",85,0.702,5.84,6.78,0.004,6,3.68121888886066
"87",86,0.661,5.41,6.28,0.003,6,3.64021888886066
"88",87,0.661,5.02,5.81,0.003,5,3.08533779813222
"89",88,0.661,4.65,5.37,0.003,5,3.08533779813222
"90",89,0.661,4.32,4.96,0.002,5,3.08533779813222
"91",90,0.661,4.02,4.58,0.002,4,2.5106920045336
"92",91,0.661,3.7,4.22,0.002,4,2.5106920045336
"93",92,0.661,3.42,3.9,0.001,4,2.5106920045336
"94",93,0.661,3.16,3.6,0.001,3,1.91557749510408
"95",94,0.661,2.92,3.32,0.001,3,1.91557749510408
"96",95,0.661,2.7,3.06,0.001,3,1.91557749510408
"97",96,0.661,2.51,2.83,0,3,1.91557749510408
"98",97,0.661,2.34,2.62,0,2,1.29926518014625
"99",98,0.661,2.18,2.43,0,2,1.29926518014625
"100",99,0.661,2.02,2.26,0,2,1.29926518014625
"101",100,0.661,1.91,2.09,0,2,0
