"","age_group","metric","outcome","ref","population_age","mean","lb_95","ub_95"
"59","8mo","risk","death","Cromer2017",56605.4166666667,8.39285663806794e-06,8.13852764903558e-06,8.64718562710031e-06
"60","9mo","risk","death","Cromer2017",56605.4166666667,8.56372794623625e-06,8.30422103877454e-06,8.82323485369795e-06
"61","10mo","risk","death","Cromer2017",56605.4166666666,8.78814775419413e-06,8.52184024649128e-06,9.05445526189698e-06
"62","11mo","risk","death","Cromer2017",56605.4166666667,9.0523372564332e-06,8.77802400623825e-06,9.32665050662815e-06
"63","1yr","risk","death","Cromer2017",679265,8.37013599806329e-06,8.1164955132735e-06,8.62377648285309e-06
"64","2yr","risk","death","Cromer2017",679265,1.03534404866023e-05,1.00396998657962e-05,1.06671811074084e-05
"65","3yr","risk","death","Cromer2017",679265,1.14405628152292e-05,1.10938790935556e-05,1.17872465369028e-05
"66","4yr","risk","death","Cromer2017",679265,1.22233390628783e-05,1.18529348488517e-05,1.25937432769049e-05
"67","5-9yr","risk","death","Taylor2016",3396325,0,0,0
"68","10-14yr","risk","death","Taylor2016",3396325,0,0,0
"69","15-24yr","risk","death","Fleming2015",6792650,0,0,1.95018547694732e-05
"70","25-34yr","risk","death","Fleming2015",6792650,0,0,2.16395414874974e-05
"71","35-44yr","risk","death","Fleming2015",6792650,0,0,2.01743341032766e-05
"72","45-55yr","risk","death","Fleming2015",6792650,0.000149544675988642,0.000124620563323868,0.000174468788653415
"73","55-64yr","risk","death","Fleming2015",6792650,0.000217230429309857,0.000181025357758214,0.0002534355008615
"74","65-74yr","risk","death","Fleming2015",6792650,0.00151108370341713,0.0010942330266124,0.00171950904181949
"75","75yr","risk","death","Fleming2015",7799725,0.00825794295196894,0.00575392154072675,0.0113480119275444
"76","<1mo","risk","hosp","Reeves2019",56605.4166666667,0.0430318927685178,0.0415748309366267,0.0464559880734619
"77","1mo","risk","hosp","Reeves2019",56605.4166666667,0.0926982499030116,0.088722929650822,0.0957630219410124
"78","2mo","risk","hosp","Reeves2019",56605.4166666667,0.0708006166403049,0.0683323790627063,0.0749588186854484
"79","3mo","risk","hosp","Reeves2019",56605.4166666667,0.0516560451963825,0.0489431577603263,0.0545023533260153
"80","4mo","risk","hosp","Reeves2019",56605.4166666667,0.0445610319666479,0.0419489098742164,0.0481250290588636
"81","5mo","risk","hosp","Reeves2019",56605.4166666667,0.0366156083532624,0.0344552654161042,0.0394813693923497
"82","6mo","risk","hosp","Reeves2019",56605.4166666667,0.0299494097413516,0.0279660051227191,0.0331008193020678
"83","7mo","risk","hosp","Reeves2019",56605.4166666666,0.0248530798484285,0.0233011480113277,0.0282451594352345
